學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,D 日,D 博士,90,82,102,59,85,58,69,62,66,54,72,37,81,35,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,M 碩士,685,760,571,699,369,456,221,267,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,B 學士,897,"1,299",888,"1,348",997,"1,226",858,"1,372",-,-,-,-,-,-,294,453,30 臺北市,1 一般
0001,國立政治大學,N 職,M 碩士,295,278,264,280,163,185,99,78,50,49,-,-,-,-,-,-,30 臺北市,1 一般
0002,國立清華大學,D 日,D 博士,220,77,211,83,196,58,183,59,138,43,119,45,186,69,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,M 碩士,"1,268",714,"1,201",630,452,292,170,202,3,11,6,6,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,B 學士,"1,091",944,"1,164","1,003","1,110","1,044","1,108",971,-,-,-,-,-,-,264,161,18 新竹市,1 一般
0002,國立清華大學,D 日,X 4+X,21,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,N 職,M 碩士,176,233,134,218,47,100,25,58,19,27,13,20,9,51,-,-,18 新竹市,1 一般
0003,國立臺灣大學,D 日,D 博士,413,187,427,167,385,176,365,138,299,135,290,109,363,162,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,M 碩士,"2,483","1,572","2,312","1,417",914,626,479,398,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,B 學士,"2,096","1,642","2,124","1,651","2,086","1,614","1,977","1,589",157,90,136,54,103,30,714,494,30 臺北市,1 一般
0003,國立臺灣大學,N 職,M 碩士,345,191,276,176,176,83,52,19,30,14,51,14,-,-,-,-,30 臺北市,1 一般
0003,國立臺灣大學,P 進,B 學士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,30 臺北市,1 一般
0004,國立臺灣師範大學,D 日,D 博士,131,123,101,111,121,120,105,101,90,97,85,68,78,62,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,M 碩士,590,756,550,716,302,516,193,333,-,-,-,-,-,-,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,B 學士,866,"1,067",863,"1,094",836,"1,055",757,"1,033",-,-,-,-,-,-,262,252,30 臺北市,3 師範
0004,國立臺灣師範大學,N 職,M 碩士,189,421,179,405,70,225,84,189,31,94,31,74,-,-,-,-,30 臺北市,3 師範
0005,國立成功大學,D 日,D 博士,248,112,195,92,206,77,170,79,161,61,142,69,165,56,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,M 碩士,"1,865","1,035","1,673",971,464,319,132,127,4,5,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,B 學士,"1,691","1,026","1,713","1,039","1,656",968,"1,602",956,48,27,54,21,43,35,403,199,21 臺南市,1 一般
0005,國立成功大學,N 職,M 碩士,290,186,243,171,183,91,84,29,55,11,-,-,-,-,-,-,21 臺南市,1 一般
0006,國立中興大學,D 日,D 博士,100,53,108,42,95,38,100,40,90,33,78,31,132,49,-,-,19 臺中市,1 一般
0006,國立中興大學,D 日,M 碩士,850,555,808,525,246,165,88,78,2,4,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,D 日,B 學士,"1,108",806,"1,124",799,"1,165",814,"1,073",788,40,32,-,-,-,-,223,101,19 臺中市,1 一般
0006,國立中興大學,N 職,M 碩士,350,192,324,187,147,60,100,49,107,28,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,P 進,B 學士,79,122,101,114,82,127,78,114,46,62,-,-,-,-,15,10,19 臺中市,1 一般
0007,國立交通大學,D 日,D 博士,273,78,244,43,189,66,182,48,166,34,134,26,171,47,-,-,18 新竹市,1 一般
0007,國立交通大學,D 日,M 碩士,"1,431",670,"1,349",615,812,307,223,135,-,1,-,-,-,-,-,-,18 新竹市,1 一般
0007,國立交通大學,D 日,B 學士,902,411,924,411,932,380,900,400,-,-,-,-,-,-,157,38,18 新竹市,1 一般
0007,國立交通大學,N 職,M 碩士,347,169,316,161,175,58,80,34,111,19,-,-,-,-,-,-,18 新竹市,1 一般
0008,國立中央大學,D 日,D 博士,145,58,148,60,108,46,102,38,84,24,79,15,94,33,-,-,03 桃園市,1 一般
0008,國立中央大學,D 日,M 碩士,989,496,908,462,314,151,78,49,-,1,-,-,-,-,-,-,03 桃園市,1 一般
0008,國立中央大學,D 日,B 學士,972,531,949,532,934,524,904,540,-,-,-,-,-,-,158,73,03 桃園市,1 一般
0008,國立中央大學,N 職,M 碩士,286,209,311,165,123,66,71,33,40,21,-,-,-,-,-,-,03 桃園市,1 一般
0009,國立中山大學,D 日,D 博士,101,49,102,35,81,38,68,34,79,29,54,35,60,33,-,-,50 高雄市,1 一般
0009,國立中山大學,D 日,M 碩士,756,416,684,394,261,186,117,87,-,-,-,-,-,-,-,-,50 高雄市,1 一般
0009,國立中山大學,D 日,B 學士,713,394,689,439,695,427,684,452,-,-,-,-,-,-,171,76,50 高雄市,1 一般
0009,國立中山大學,N 職,M 碩士,220,200,192,166,63,73,47,66,-,-,-,-,-,-,-,-,50 高雄市,1 一般
0012,國立臺灣海洋大學,D 日,D 博士,46,19,41,8,28,15,33,6,18,7,16,4,41,10,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,M 碩士,389,209,354,178,134,58,28,20,10,6,5,2,-,-,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,B 學士,978,442,945,433,970,410,927,423,-,-,-,-,-,-,166,43,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 職,M 碩士,117,81,146,87,54,32,16,11,13,3,2,1,2,1,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 修,X 4+X,63,11,68,17,-,-,-,-,-,-,-,-,-,-,2,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,P 進,B 學士,58,51,67,53,70,51,53,51,-,-,-,-,-,-,29,20,17 基隆市,1 一般
0013,國立中正大學,D 日,D 博士,69,42,67,31,66,36,50,22,52,24,43,17,53,16,-,-,10 嘉義縣,1 一般
0013,國立中正大學,D 日,M 碩士,710,421,664,358,271,168,118,112,1,3,-,-,-,-,-,-,10 嘉義縣,1 一般
0013,國立中正大學,D 日,B 學士,847,728,932,739,892,748,833,745,-,-,-,-,-,-,166,98,10 嘉義縣,1 一般
0013,國立中正大學,N 職,M 碩士,211,260,215,222,112,108,50,66,70,56,-,-,-,-,-,-,10 嘉義縣,1 一般
0014,國立高雄師範大學,D 日,D 博士,43,41,39,42,28,35,35,27,27,30,25,22,28,28,-,-,50 高雄市,3 師範
0014,國立高雄師範大學,D 日,M 碩士,196,280,142,231,93,178,62,146,11,29,1,8,-,1,-,-,50 高雄市,3 師範
0014,國立高雄師範大學,D 日,B 學士,398,469,414,426,402,447,388,443,-,-,-,-,-,-,55,45,50 高雄市,3 師範
0014,國立高雄師範大學,N 職,M 碩士,171,303,140,222,81,191,35,65,21,46,15,49,-,-,-,-,50 高雄市,3 師範
0015,國立彰化師範大學,D 日,D 博士,55,38,54,29,46,34,44,24,36,22,29,27,22,17,-,-,07 彰化縣,3 師範
0015,國立彰化師範大學,D 日,M 碩士,305,268,252,228,144,156,61,96,-,-,-,-,-,-,-,-,07 彰化縣,3 師範
0015,國立彰化師範大學,D 日,B 學士,615,587,587,579,629,560,576,570,-,-,-,-,-,-,133,59,07 彰化縣,3 師範
0015,國立彰化師範大學,N 職,M 碩士,195,271,188,250,91,99,34,46,24,43,62,50,-,-,-,-,07 彰化縣,3 師範
0016,國立陽明大學,D 日,D 博士,79,58,101,52,81,57,80,50,47,55,46,43,69,46,-,-,30 臺北市,1 一般
0016,國立陽明大學,D 日,M 碩士,214,331,190,271,59,86,30,42,-,3,-,-,-,-,-,-,30 臺北市,1 一般
0016,國立陽明大學,D 日,B 學士,217,184,217,191,198,185,215,190,104,67,112,64,79,52,18,14,30 臺北市,1 一般
0016,國立陽明大學,N 職,M 碩士,17,34,19,31,4,20,1,3,2,4,-,-,-,-,-,-,30 臺北市,1 一般
0017,國立臺北大學,D 日,D 博士,28,15,26,13,18,13,15,10,21,5,9,7,25,9,-,-,01 新北市,1 一般
0017,國立臺北大學,D 日,M 碩士,255,257,237,228,106,122,67,67,2,5,-,-,-,-,-,-,01 新北市,1 一般
0017,國立臺北大學,D 日,B 學士,643,757,646,754,660,747,586,811,-,-,-,-,-,-,139,135,01 新北市,1 一般
0017,國立臺北大學,N 職,M 碩士,88,92,71,99,23,34,17,15,6,11,-,-,-,-,-,-,01 新北市,1 一般
0017,國立臺北大學,P 進,B 學士,207,320,170,312,187,308,114,185,6,19,-,-,-,-,68,63,01 新北市,1 一般
0018,國立嘉義大學,D 日,D 博士,20,16,23,10,16,15,13,14,9,3,6,7,11,18,-,-,20 嘉義市,1 一般
0018,國立嘉義大學,D 日,M 碩士,194,257,227,241,119,139,81,97,-,-,-,-,-,-,-,-,20 嘉義市,1 一般
0018,國立嘉義大學,D 日,B 學士,946,939,980,915,978,925,942,921,27,21,-,-,-,-,163,73,20 嘉義市,1 一般
0018,國立嘉義大學,N 職,M 碩士,154,205,112,177,55,99,65,70,-,-,-,-,-,1,-,-,20 嘉義市,1 一般
0018,國立嘉義大學,P 進,B 學士,345,193,298,182,307,206,232,210,-,-,-,-,-,-,82,40,20 嘉義市,1 一般
0019,國立高雄大學,D 日,D 博士,4,1,6,-,3,-,2,-,4,1,2,-,1,-,-,-,50 高雄市,1 一般
0019,國立高雄大學,D 日,M 碩士,154,97,167,77,64,35,35,17,-,-,-,-,-,-,-,-,50 高雄市,1 一般
0019,國立高雄大學,D 日,B 學士,562,445,589,426,574,445,547,449,-,-,-,-,-,-,107,49,50 高雄市,1 一般
0019,國立高雄大學,N 職,M 碩士,113,60,95,61,44,28,25,13,15,6,11,2,-,-,-,-,50 高雄市,1 一般
0019,國立高雄大學,N 修,C 二技,-,-,-,-,46,21,27,25,-,-,-,-,-,-,33,18,50 高雄市,2 技職
0020,國立東華大學,D 日,D 博士,27,20,60,25,27,25,36,16,33,13,21,9,20,14,-,-,15 花蓮縣,1 一般
0020,國立東華大學,D 日,M 碩士,238,236,292,250,171,144,116,113,9,6,-,7,-,-,-,-,15 花蓮縣,1 一般
0020,國立東華大學,D 日,B 學士,890,945,841,950,883,933,869,912,-,-,-,-,-,-,264,172,15 花蓮縣,1 一般
0020,國立東華大學,N 職,M 碩士,74,80,90,104,42,51,21,30,18,20,15,21,1,-,-,-,15 花蓮縣,1 一般
0021,國立暨南國際大學,D 日,D 博士,31,29,37,27,23,25,25,23,30,13,19,20,31,13,-,-,08 南投縣,1 一般
0021,國立暨南國際大學,D 日,M 碩士,161,140,149,126,90,79,62,96,-,-,-,-,-,-,-,-,08 南投縣,1 一般
0021,國立暨南國際大學,D 日,B 學士,525,611,512,638,553,589,506,573,-,-,-,-,-,-,98,70,08 南投縣,1 一般
0021,國立暨南國際大學,N 職,M 碩士,82,87,80,84,18,30,11,18,8,10,3,6,-,-,-,-,08 南投縣,1 一般
0022,國立臺灣科技大學,D 日,D 博士,211,55,178,58,129,30,95,26,84,22,55,11,54,5,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,D 日,M 碩士,"1,117",508,"1,050",398,227,97,48,24,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,D 日,B 四技,987,402,974,387,907,434,831,397,-,-,-,-,-,-,201,61,30 臺北市,2 技職
0022,國立臺灣科技大學,D 日,C 二技,-,-,-,-,31,48,24,36,-,-,-,-,-,-,-,8,30 臺北市,2 技職
0022,國立臺灣科技大學,D 日,X 4+X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30 臺北市,2 技職
0022,國立臺灣科技大學,N 職,D 博士,-,-,-,-,-,-,-,-,-,-,-,-,10,1,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,N 職,M 碩士,212,115,198,103,57,26,58,10,4,1,2,-,-,-,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,N 修,C 二技,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,30 臺北市,2 技職
0023,國立雲林科技大學,D 日,D 博士,52,28,42,24,46,25,44,22,30,16,34,15,37,14,-,-,09 雲林縣,2 技職
0023,國立雲林科技大學,D 日,M 碩士,552,278,510,262,154,120,55,42,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
0023,國立雲林科技大學,D 日,B 四技,902,639,974,617,906,624,882,584,-,-,-,-,-,-,119,73,09 雲林縣,2 技職
0023,國立雲林科技大學,D 日,C 二技,-,-,-,-,51,58,38,62,-,-,-,-,-,-,5,7,09 雲林縣,2 技職
0023,國立雲林科技大學,N 職,M 碩士,149,115,175,137,44,28,30,16,16,17,-,-,-,-,-,-,09 雲林縣,2 技職
0023,國立雲林科技大學,N 修,B 四技,22,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
0024,國立屏東科技大學,D 日,D 博士,30,14,29,17,33,11,21,17,15,9,13,11,26,6,-,-,13 屏東縣,2 技職
0024,國立屏東科技大學,D 日,M 碩士,303,194,254,176,98,66,28,24,5,4,1,-,-,-,-,-,13 屏東縣,2 技職
0024,國立屏東科技大學,D 日,B 四技,"1,014",870,941,872,955,933,953,924,39,62,-,-,-,-,147,66,13 屏東縣,2 技職
0024,國立屏東科技大學,D 日,C 二技,-,-,-,-,1,2,1,5,-,-,-,-,-,-,1,-,13 屏東縣,2 技職
0024,國立屏東科技大學,N 職,M 碩士,155,55,94,68,35,12,24,4,14,4,7,3,-,-,-,-,13 屏東縣,2 技職
0024,國立屏東科技大學,N 修,B 四技,185,181,194,153,181,183,159,144,-,-,-,-,-,-,88,53,13 屏東縣,2 技職
0025,國立臺北科技大學,D 日,D 博士,101,23,104,23,97,19,79,21,63,23,61,11,71,26,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,D 日,M 碩士,950,318,934,284,181,61,32,23,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,D 日,B 四技,"1,082",481,"1,056",463,"1,018",412,976,457,-,-,-,-,-,-,29,8,30 臺北市,2 技職
0025,國立臺北科技大學,D 日,C 二技,-,-,-,-,22,28,16,18,-,-,-,-,-,-,1,-,30 臺北市,2 技職
0025,國立臺北科技大學,N 職,M 碩士,411,172,344,150,181,44,85,29,44,7,6,1,-,-,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,N 修,B 四技,447,95,382,74,277,43,221,42,-,-,-,-,-,-,4,1,30 臺北市,2 技職
0025,國立臺北科技大學,N 修,C 二技,-,-,-,-,40,18,118,79,15,8,-,-,-,-,42,21,30 臺北市,2 技職
0026,國立高雄第一科技大學,D 日,D 博士,24,9,26,10,34,8,32,9,16,6,16,5,27,5,-,-,12 高雄市,2 技職
0026,國立高雄第一科技大學,D 日,M 碩士,282,191,257,143,78,57,28,16,-,-,-,-,-,-,-,-,12 高雄市,2 技職
0026,國立高雄第一科技大學,D 日,B 四技,759,669,717,682,632,666,667,680,-,-,-,-,-,-,115,52,12 高雄市,2 技職
0026,國立高雄第一科技大學,D 日,C 二技,-,-,-,-,21,60,29,57,-,-,-,-,-,-,2,3,12 高雄市,2 技職
0026,國立高雄第一科技大學,N 職,M 碩士,192,80,145,77,79,37,42,10,30,6,14,2,-,-,-,-,12 高雄市,2 技職
0027,國立高雄應用科技大學,D 日,D 博士,48,10,43,20,54,8,29,8,32,2,17,1,16,2,-,-,50 高雄市,2 技職
0027,國立高雄應用科技大學,D 日,M 碩士,333,153,399,144,77,32,20,11,2,-,-,-,-,-,-,-,50 高雄市,2 技職
0027,國立高雄應用科技大學,D 日,B 四技,"1,150",592,"1,148",620,"1,152",639,"1,096",664,-,-,-,-,-,-,163,56,50 高雄市,2 技職
0027,國立高雄應用科技大學,D 日,C 二技,-,-,-,-,30,15,36,15,-,-,-,-,-,-,2,2,50 高雄市,2 技職
0027,國立高雄應用科技大學,N 職,M 碩士,298,177,272,201,85,21,44,11,13,4,5,1,-,-,-,-,50 高雄市,2 技職
0027,國立高雄應用科技大學,N 修,B 四技,307,174,243,136,214,107,161,74,-,-,-,-,-,-,86,17,50 高雄市,2 技職
0027,國立高雄應用科技大學,N 修,C 二技,-,-,-,-,54,67,83,106,-,-,-,-,-,-,8,12,50 高雄市,2 技職
0028,國立臺北藝術大學,D 日,D 博士,10,11,4,13,2,12,5,6,3,5,3,7,-,5,-,-,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,M 碩士,112,168,93,170,88,159,57,109,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,B 學士,154,237,121,270,135,249,116,255,-,-,-,-,-,-,88,129,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,X 4+X,16,12,12,25,-,-,-,-,-,-,-,-,-,-,-,2,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,5 五專,8,15,13,14,13,12,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0028,國立臺北藝術大學,N 職,M 碩士,17,44,20,35,13,30,9,10,7,8,-,-,-,-,-,-,30 臺北市,1 一般
0029,國立臺灣藝術大學,D 日,D 博士,16,17,13,12,9,9,12,7,2,6,1,3,1,4,-,-,01 新北市,1 一般
0029,國立臺灣藝術大學,D 日,M 碩士,78,141,74,141,71,129,50,70,-,-,-,-,-,-,-,-,01 新北市,1 一般
0029,國立臺灣藝術大學,D 日,B 學士,149,397,155,386,146,395,158,383,-,-,-,-,-,-,91,178,01 新北市,1 一般
0029,國立臺灣藝術大學,N 職,M 碩士,39,71,59,61,37,50,24,40,10,25,2,11,-,-,-,-,01 新北市,1 一般
0029,國立臺灣藝術大學,N 修,C 二技,-,-,-,-,38,123,35,104,-,-,-,-,-,-,21,50,01 新北市,2 技職
0029,國立臺灣藝術大學,P 進,B 學士,120,264,114,238,103,253,108,225,-,-,-,-,-,-,57,97,01 新北市,1 一般
0030,國立臺東大學,D 日,D 博士,3,5,1,5,4,3,1,2,1,5,1,5,3,2,-,-,14 臺東縣,1 一般
0030,國立臺東大學,D 日,M 碩士,46,78,52,43,26,45,12,30,-,2,-,-,-,-,-,-,14 臺東縣,1 一般
0030,國立臺東大學,D 日,B 學士,433,436,412,435,412,440,383,437,-,-,-,-,-,-,92,46,14 臺東縣,1 一般
0030,國立臺東大學,N 職,M 碩士,57,147,57,137,25,40,10,33,5,18,3,2,1,7,-,-,14 臺東縣,1 一般
0030,國立臺東大學,P 進,B 學士,22,30,15,26,16,19,18,18,-,-,-,-,-,-,7,2,14 臺東縣,1 一般
0031,國立宜蘭大學,D 日,D 博士,2,1,2,-,-,-,1,1,1,-,2,-,2,-,-,-,02 宜蘭縣,1 一般
0031,國立宜蘭大學,D 日,M 碩士,132,59,127,60,50,20,19,6,1,-,-,-,-,-,-,-,02 宜蘭縣,1 一般
0031,國立宜蘭大學,D 日,B 學士,730,376,727,377,685,384,636,397,-,-,-,-,-,-,108,30,02 宜蘭縣,1 一般
0031,國立宜蘭大學,N 職,M 碩士,49,19,42,26,24,7,12,4,9,-,5,-,-,-,-,-,02 宜蘭縣,1 一般
0031,國立宜蘭大學,P 進,B 學士,78,29,52,33,51,27,59,26,-,-,-,-,-,-,15,8,02 宜蘭縣,1 一般
0032,國立聯合大學,D 日,D 博士,3,-,3,-,3,-,1,-,-,-,2,-,-,-,-,-,05 苗栗縣,1 一般
0032,國立聯合大學,D 日,M 碩士,121,52,110,50,44,11,12,7,2,1,-,-,-,-,-,-,05 苗栗縣,1 一般
0032,國立聯合大學,D 日,B 學士,"1,003",462,998,466,988,456,973,456,31,13,-,-,-,-,176,29,05 苗栗縣,1 一般
0032,國立聯合大學,N 職,M 碩士,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,05 苗栗縣,1 一般
0032,國立聯合大學,P 進,B 學士,179,125,171,123,174,125,153,110,-,-,-,-,-,-,69,24,05 苗栗縣,1 一般
0033,國立虎尾科技大學,D 日,D 博士,7,2,5,1,4,2,4,-,4,2,-,1,1,-,-,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,D 日,M 碩士,278,94,320,65,67,10,18,3,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,D 日,B 四技,"1,409",414,"1,321",428,"1,279",430,"1,224",469,-,-,-,-,-,-,226,36,09 雲林縣,2 技職
0033,國立虎尾科技大學,D 日,C 二技,-,-,-,-,72,24,65,18,-,-,-,-,-,-,1,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,N 職,M 碩士,51,25,46,21,34,6,6,1,5,4,-,-,-,-,-,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,N 修,B 四技,392,99,388,80,230,63,203,63,-,-,-,-,-,-,55,7,09 雲林縣,2 技職
0033,國立虎尾科技大學,N 修,C 二技,-,-,-,-,29,30,22,21,-,-,-,-,-,-,2,1,09 雲林縣,2 技職
0034,國立高雄海洋科技大學,D 日,D 博士,9,1,6,5,4,-,3,-,-,-,-,-,-,-,-,-,50 高雄市,2 技職
0034,國立高雄海洋科技大學,D 日,M 碩士,88,43,71,49,37,17,8,4,-,-,-,-,-,-,-,-,50 高雄市,2 技職
0034,國立高雄海洋科技大學,D 日,B 四技,741,392,718,397,674,390,665,418,-,-,-,-,-,-,156,39,50 高雄市,2 技職
0034,國立高雄海洋科技大學,D 日,C 二技,-,-,-,-,85,10,77,15,-,-,-,-,-,-,23,2,50 高雄市,2 技職
0034,國立高雄海洋科技大學,D 日,X 4+X,30,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,50 高雄市,2 技職
0034,國立高雄海洋科技大學,D 日,5 五專,81,20,83,16,81,16,79,20,78,14,-,-,-,-,20,-,50 高雄市,2 技職
0034,國立高雄海洋科技大學,N 職,M 碩士,60,17,48,18,8,6,8,4,-,-,-,-,-,-,-,-,50 高雄市,2 技職
0034,國立高雄海洋科技大學,N 修,B 四技,383,104,298,119,240,137,239,157,-,-,-,-,-,-,122,38,50 高雄市,2 技職
0035,國立臺南藝術大學,D 日,D 博士,4,3,2,3,3,2,1,3,5,1,2,2,2,5,-,-,11 臺南市,1 一般
0035,國立臺南藝術大學,D 日,M 碩士,56,96,44,107,45,66,50,72,-,1,1,1,-,1,-,-,11 臺南市,1 一般
0035,國立臺南藝術大學,D 日,B 學士,60,130,56,135,51,124,49,122,-,-,-,-,-,-,19,38,11 臺南市,1 一般
0035,國立臺南藝術大學,D 日,5 五專,20,40,24,33,23,30,-,-,-,-,-,-,-,-,-,-,11 臺南市,1 一般
0035,國立臺南藝術大學,N 職,M 碩士,1,10,3,6,4,2,5,4,-,4,1,4,2,2,-,-,11 臺南市,1 一般
0036,國立臺南大學,D 日,D 博士,17,14,11,19,15,17,12,12,14,13,3,10,8,8,-,-,21 臺南市,1 一般
0036,國立臺南大學,D 日,M 碩士,151,160,144,155,71,108,59,85,2,5,-,-,-,-,-,-,21 臺南市,1 一般
0036,國立臺南大學,D 日,B 學士,430,501,441,501,436,530,402,508,-,-,-,-,-,-,77,53,21 臺南市,1 一般
0036,國立臺南大學,N 職,M 碩士,80,162,81,125,28,91,34,45,8,24,1,1,1,2,-,-,21 臺南市,1 一般
0036,國立臺南大學,P 進,B 學士,1,12,2,7,9,11,3,15,-,-,-,-,-,-,5,5,21 臺南市,1 一般
0037,國立臺北教育大學,D 日,D 博士,13,14,13,15,13,13,11,10,4,7,8,6,8,15,-,-,30 臺北市,3 師範
0037,國立臺北教育大學,D 日,M 碩士,143,286,131,230,90,176,50,139,2,6,1,2,-,-,-,-,30 臺北市,3 師範
0037,國立臺北教育大學,D 日,B 學士,297,545,281,528,267,528,277,521,-,-,-,-,-,-,58,81,30 臺北市,3 師範
0037,國立臺北教育大學,N 職,M 碩士,83,283,74,246,26,110,33,112,15,23,6,8,-,-,-,-,30 臺北市,3 師範
0039,國立臺中教育大學,D 日,D 博士,10,6,9,10,10,10,11,9,6,13,5,6,6,13,-,-,19 臺中市,3 師範
0039,國立臺中教育大學,D 日,M 碩士,93,192,99,181,51,86,29,62,6,7,3,9,-,-,-,-,19 臺中市,3 師範
0039,國立臺中教育大學,D 日,B 學士,297,516,289,512,270,540,288,530,-,-,-,-,-,-,50,59,19 臺中市,3 師範
0039,國立臺中教育大學,N 職,M 碩士,56,190,45,170,26,94,25,58,11,15,13,10,-,-,-,-,19 臺中市,3 師範
0042,國立澎湖科技大學,D 日,M 碩士,20,19,18,14,4,5,4,2,-,-,-,-,-,-,-,-,16 澎湖縣,2 技職
0042,國立澎湖科技大學,D 日,B 四技,396,255,361,305,354,248,352,240,-,-,-,-,-,-,43,15,16 澎湖縣,2 技職
0042,國立澎湖科技大學,N 職,M 碩士,12,14,15,5,1,1,-,1,-,-,-,-,-,-,-,-,16 澎湖縣,2 技職
0042,國立澎湖科技大學,N 修,B 四技,40,51,27,36,29,35,33,42,-,-,-,-,-,-,9,2,16 澎湖縣,2 技職
0043,國立勤益科技大學,D 日,D 博士,2,1,3,-,2,1,3,-,3,-,3,-,-,-,-,-,06 臺中市,2 技職
0043,國立勤益科技大學,D 日,M 碩士,170,56,195,47,44,14,14,6,-,-,-,-,-,-,-,-,06 臺中市,2 技職
0043,國立勤益科技大學,D 日,B 四技,"1,130",518,"1,084",502,"1,086",553,"1,061",508,-,-,-,-,-,-,188,29,06 臺中市,2 技職
0043,國立勤益科技大學,D 日,C 二技,-,-,-,-,34,1,27,3,-,-,-,-,-,-,3,-,06 臺中市,2 技職
0043,國立勤益科技大學,D 日,2 二專,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,06 臺中市,2 技職
0043,國立勤益科技大學,N 職,M 碩士,84,23,80,21,39,4,20,1,9,-,4,-,-,-,-,-,06 臺中市,2 技職
0043,國立勤益科技大學,N 修,B 四技,831,180,685,133,616,154,605,163,-,-,-,-,-,-,189,18,06 臺中市,2 技職
0043,國立勤益科技大學,N 修,C 二技,-,-,-,-,4,2,17,1,-,-,-,-,-,-,1,-,06 臺中市,2 技職
0044,國立體育大學,D 日,D 博士,20,8,17,10,21,8,11,6,12,5,8,10,7,2,-,-,03 桃園市,1 一般
0044,國立體育大學,D 日,M 碩士,59,66,61,54,34,42,25,15,-,-,-,-,-,-,-,-,03 桃園市,1 一般
0044,國立體育大學,D 日,B 學士,240,159,236,158,251,128,219,148,-,-,-,-,-,-,89,31,03 桃園市,1 一般
0044,國立體育大學,N 職,M 碩士,47,34,38,37,18,14,6,6,1,2,-,1,-,-,-,-,03 桃園市,1 一般
0044,國立體育大學,N 修,C 二年制,-,-,-,-,27,10,28,15,-,-,-,-,-,-,15,5,03 桃園市,1 一般
0046,國立臺北護理健康大學,D 日,D 博士,3,14,-,8,-,10,-,10,-,14,-,3,-,5,-,-,30 臺北市,2 技職
0046,國立臺北護理健康大學,D 日,M 碩士,39,153,34,136,23,100,11,75,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0046,國立臺北護理健康大學,D 日,B 四技,160,554,172,520,152,504,147,434,-,-,-,-,-,-,13,33,30 臺北市,2 技職
0046,國立臺北護理健康大學,D 日,C 二技,-,-,-,-,19,417,18,374,-,-,-,-,-,-,3,9,30 臺北市,2 技職
0046,國立臺北護理健康大學,D 日,X 4+X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,30 臺北市,2 技職
0046,國立臺北護理健康大學,N 職,M 碩士,8,54,11,49,6,39,1,24,-,-,-,-,-,-,-,-,30 臺北市,2 技職
